"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 05 19:58:21 UTC 2021","Fri Mar 05 19:58:23 UTC 2021","1286","","Connectors","","Connectors",".each() - iterate over an array of elements",".each() - iterate over an array of elements",""
"passed","Fri Mar 05 19:58:32 UTC 2021","Fri Mar 05 19:58:33 UTC 2021","1431","","Cookies","","Cookies","cy.getCookie() - get a browser cookie","cy.getCookie() - get a browser cookie",""
"passed","Fri Mar 05 19:57:48 UTC 2021","Fri Mar 05 19:57:50 UTC 2021","2040","","Actions","","Actions",".click() - click on a DOM element",".click() - click on a DOM element",""
"passed","Fri Mar 05 19:58:08 UTC 2021","Fri Mar 05 19:58:09 UTC 2021","688","","Aliasing","","Aliasing",".as() - alias a route for later use",".as() - alias a route for later use",""
"passed","Fri Mar 05 19:57:54 UTC 2021","Fri Mar 05 19:57:54 UTC 2021","254","","Actions","","Actions",".scrollIntoView() - scroll an element into view",".scrollIntoView() - scroll an element into view",""
"passed","Fri Mar 05 19:58:13 UTC 2021","Fri Mar 05 19:58:15 UTC 2021","1499","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".should() - make an assertion about the current subject",".should() - make an assertion about the current subject",""
"passed","Fri Mar 05 19:58:15 UTC 2021","Fri Mar 05 19:58:15 UTC 2021","127","","Assertions Explicit Assertions","","Assertions Explicit Assertions","expect - make an assertion about a specified subject","expect - make an assertion about a specified subject",""
"passed","Fri Mar 05 19:58:28 UTC 2021","Fri Mar 05 19:58:28 UTC 2021","203","","Connectors .then()","","Connectors .then()","yields the value yielded by the last Cypress command inside","yields the value yielded by the last Cypress command inside",""
"passed","Fri Mar 05 19:57:54 UTC 2021","Fri Mar 05 19:57:54 UTC 2021","163","","Actions","","Actions",".trigger() - trigger an event on a DOM element",".trigger() - trigger an event on a DOM element",""
"passed","Fri Mar 05 19:57:47 UTC 2021","Fri Mar 05 19:57:48 UTC 2021","562","","Actions","","Actions",".clear() - clears an input or textarea element",".clear() - clears an input or textarea element",""
"passed","Fri Mar 05 19:57:51 UTC 2021","Fri Mar 05 19:57:51 UTC 2021","217","","Actions","","Actions",".rightclick() - right click on a DOM element",".rightclick() - right click on a DOM element",""
"passed","Fri Mar 05 19:58:28 UTC 2021","Fri Mar 05 19:58:28 UTC 2021","193","","Connectors .then()","","Connectors .then()","yields the original subject without return","yields the original subject without return",""
"passed","Fri Mar 05 19:58:16 UTC 2021","Fri Mar 05 19:58:16 UTC 2021","117","","Assertions Explicit Assertions","","Assertions Explicit Assertions","assert - assert shape of an object","assert - assert shape of an object",""
"passed","Fri Mar 05 19:57:48 UTC 2021","Fri Mar 05 19:57:48 UTC 2021","456","","Actions","","Actions",".submit() - submit a form",".submit() - submit a form",""
"passed","Fri Mar 05 19:58:16 UTC 2021","Fri Mar 05 19:58:18 UTC 2021","1613","","Assertions Explicit Assertions","","Assertions Explicit Assertions","retries the should callback until assertions pass","retries the should callback until assertions pass",""
"passed","Fri Mar 05 19:58:27 UTC 2021","Fri Mar 05 19:58:28 UTC 2021","127","","Connectors .then()","","Connectors .then()","invokes a callback function with the current subject","invokes a callback function with the current subject",""
"passed","Fri Mar 05 19:58:15 UTC 2021","Fri Mar 05 19:58:15 UTC 2021","182","","Assertions Explicit Assertions","","Assertions Explicit Assertions","finds element by class name regex","finds element by class name regex",""
"passed","Fri Mar 05 19:58:34 UTC 2021","Fri Mar 05 19:58:34 UTC 2021","205","","Cookies","","Cookies","cy.clearCookies() - clear browser cookies","cy.clearCookies() - clear browser cookies",""
"passed","Fri Mar 05 19:58:34 UTC 2021","Fri Mar 05 19:58:34 UTC 2021","141","","Cookies","","Cookies","cy.setCookie() - set a browser cookie","cy.setCookie() - set a browser cookie",""
"passed","Fri Mar 05 19:57:41 UTC 2021","Fri Mar 05 19:57:47 UTC 2021","5534","","Actions","","Actions",".type() - type into a DOM element",".type() - type into a DOM element",""
"passed","Fri Mar 05 19:57:50 UTC 2021","Fri Mar 05 19:57:51 UTC 2021","269","","Actions","","Actions",".dblclick() - double click on a DOM element",".dblclick() - double click on a DOM element",""
"passed","Fri Mar 05 19:58:15 UTC 2021","Fri Mar 05 19:58:15 UTC 2021","147","","Assertions Explicit Assertions","","Assertions Explicit Assertions","can throw any error","can throw any error",""
"passed","Fri Mar 05 19:58:33 UTC 2021","Fri Mar 05 19:58:34 UTC 2021","220","","Cookies","","Cookies","cy.getCookies() - get browser cookies","cy.getCookies() - get browser cookies",""
"passed","Fri Mar 05 19:58:27 UTC 2021","Fri Mar 05 19:58:27 UTC 2021","146","","Connectors","","Connectors",".invoke() - invoke a function on the current subject",".invoke() - invoke a function on the current subject",""
"passed","Fri Mar 05 19:58:27 UTC 2021","Fri Mar 05 19:58:27 UTC 2021","102","","Connectors","","Connectors",".spread() - spread an array as individual args to callback function",".spread() - spread an array as individual args to callback function",""
"passed","Fri Mar 05 19:58:28 UTC 2021","Fri Mar 05 19:58:28 UTC 2021","178","","Connectors .then()","","Connectors .then()","yields the returned value to the next command","yields the returned value to the next command",""
"passed","Fri Mar 05 19:57:54 UTC 2021","Fri Mar 05 19:57:56 UTC 2021","2174","","Actions","","Actions","cy.scrollTo() - scroll the window or element to a position","cy.scrollTo() - scroll the window or element to a position",""
"passed","Fri Mar 05 19:57:51 UTC 2021","Fri Mar 05 19:57:52 UTC 2021","882","","Actions","","Actions",".check() - check a checkbox or radio element",".check() - check a checkbox or radio element",""
"passed","Fri Mar 05 19:57:53 UTC 2021","Fri Mar 05 19:57:54 UTC 2021","935","","Actions","","Actions",".select() - select an option in a <select> element",".select() - select an option in a <select> element",""
"passed","Fri Mar 05 19:58:34 UTC 2021","Fri Mar 05 19:58:34 UTC 2021","224","","Cookies","","Cookies","cy.clearCookie() - clear a browser cookie","cy.clearCookie() - clear a browser cookie",""
"passed","Fri Mar 05 19:57:47 UTC 2021","Fri Mar 05 19:57:47 UTC 2021","462","","Actions","","Actions",".blur() - blur off a DOM element",".blur() - blur off a DOM element",""
"passed","Fri Mar 05 19:58:15 UTC 2021","Fri Mar 05 19:58:15 UTC 2021","139","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".and() - chain multiple assertions together",".and() - chain multiple assertions together",""
"passed","Fri Mar 05 19:58:15 UTC 2021","Fri Mar 05 19:58:15 UTC 2021","120","","Assertions Explicit Assertions","","Assertions Explicit Assertions","pass your own callback function to should()","pass your own callback function to should()",""
"passed","Fri Mar 05 19:58:15 UTC 2021","Fri Mar 05 19:58:16 UTC 2021","479","","Assertions Explicit Assertions","","Assertions Explicit Assertions","matches unknown text between two elements","matches unknown text between two elements",""
"failed","Fri Mar 05 19:58:02 UTC 2021","Fri Mar 05 19:58:08 UTC 2021","5521","","Aliasing","","Aliasing",".as() - alias a DOM element for later use",".as() - alias a DOM element for later use",""
"passed","Fri Mar 05 19:57:47 UTC 2021","Fri Mar 05 19:57:47 UTC 2021","183","","Actions","","Actions",".focus() - focus on a DOM element",".focus() - focus on a DOM element",""
"passed","Fri Mar 05 19:57:52 UTC 2021","Fri Mar 05 19:57:53 UTC 2021","934","","Actions","","Actions",".uncheck() - uncheck a checkbox element",".uncheck() - uncheck a checkbox element",""
"failed","Fri Mar 05 19:58:23 UTC 2021","Fri Mar 05 19:58:27 UTC 2021","4332","","Connectors","","Connectors",".its() - get properties on the current subject",".its() - get properties on the current subject",""
