"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 18 19:34:42 UTC 2021","Thu Feb 18 19:34:42 UTC 2021","180","","Assertions Explicit Assertions","","Assertions Explicit Assertions","finds element by class name regex","finds element by class name regex",""
"passed","Thu Feb 18 19:34:36 UTC 2021","Thu Feb 18 19:34:36 UTC 2021","702","","Aliasing","","Aliasing",".as() - alias a route for later use",".as() - alias a route for later use",""
"passed","Thu Feb 18 19:34:43 UTC 2021","Thu Feb 18 19:34:43 UTC 2021","215","","Assertions Explicit Assertions","","Assertions Explicit Assertions","matches unknown text between two elements","matches unknown text between two elements",""
"passed","Thu Feb 18 19:34:51 UTC 2021","Thu Feb 18 19:34:51 UTC 2021","182","","Connectors .then()","","Connectors .then()","yields the returned value to the next command","yields the returned value to the next command",""
"passed","Thu Feb 18 19:34:25 UTC 2021","Thu Feb 18 19:34:25 UTC 2021","213","","Actions","","Actions",".scrollIntoView() - scroll an element into view",".scrollIntoView() - scroll an element into view",""
"passed","Thu Feb 18 19:34:42 UTC 2021","Thu Feb 18 19:34:43 UTC 2021","189","","Assertions Explicit Assertions","","Assertions Explicit Assertions","can throw any error","can throw any error",""
"passed","Thu Feb 18 19:34:18 UTC 2021","Thu Feb 18 19:34:18 UTC 2021","235","","Actions","","Actions",".focus() - focus on a DOM element",".focus() - focus on a DOM element",""
"passed","Thu Feb 18 19:34:19 UTC 2021","Thu Feb 18 19:34:22 UTC 2021","2082","","Actions","","Actions",".click() - click on a DOM element",".click() - click on a DOM element",""
"passed","Thu Feb 18 19:34:22 UTC 2021","Thu Feb 18 19:34:23 UTC 2021","916","","Actions","","Actions",".check() - check a checkbox or radio element",".check() - check a checkbox or radio element",""
"passed","Thu Feb 18 19:34:34 UTC 2021","Thu Feb 18 19:34:36 UTC 2021","1720","","Aliasing","","Aliasing",".as() - alias a DOM element for later use",".as() - alias a DOM element for later use",""
"passed","Thu Feb 18 19:34:22 UTC 2021","Thu Feb 18 19:34:22 UTC 2021","259","","Actions","","Actions",".dblclick() - double click on a DOM element",".dblclick() - double click on a DOM element",""
"passed","Thu Feb 18 19:34:58 UTC 2021","Thu Feb 18 19:34:58 UTC 2021","222","","Cookies","","Cookies","cy.clearCookies() - clear browser cookies","cy.clearCookies() - clear browser cookies",""
"passed","Thu Feb 18 19:34:19 UTC 2021","Thu Feb 18 19:34:19 UTC 2021","507","","Actions","","Actions",".submit() - submit a form",".submit() - submit a form",""
